Name           Length 
PRFA01000003__1 10392  
PRFA01000024__1 10068  
PRFA01000025__1 10389  
PRFA01000035__1 8520   
PRFA01000035__1 8379   
PRFA01000066__1 9399   
PRFA01000247__1 9198   
PRFA01000272__1 8262   
PRFA01000021__1 8424   
PRFA01000033__1 10434  
PRFA01000034__1 9231   
PRFA01000036__1 10365  
PRFA01000072__1 8505   
PRFA01000073__1 10395  
PRFA01000077__1 8937   
PRFA01000077__1 9789   
PRFA01000078__1 10377  
PRFA01000098__1 10167  
PRFA01000098__1 10185  
PRFA01000116__1 8115   
PRFA01000129__1 8943   
PRFA01000232__1 9666   
PRFA01000362__1 9069   
