Name           Length 
TcDm25_Chr01_H1__1 5031   
TcDm25_Chr01_H1__2 615    
TcDm25_Chr01_H1__3 5073   
TcDm25_Chr01_H1__4 663    
TcDm25_Chr01_H1__5 450    
TcDm25_Chr01_H1__6 684    
TcDm25_Chr01_H1__7 954    
TcDm25_Chr01_H1__8 894    
TcDm25_Chr01_H1__9 513    
TcDm25_Chr01_H1__10 501    
TcDm25_Chr01_H1__11 480    
TcDm25_Chr01_H1__12 522    
TcDm25_Chr01_H1__13 645    
TcDm25_Chr01_H1__14 1671   
TcDm25_Chr29_H1__1 3168   
TcDm25_Chr29_H1__2 1734   
TcDm25_Chr29_H1__3 2358   
TcDm25_Chr29_H1__4 1665   
TcDm25_Chr29_H1__5 645    
TcDm25_Chr29_H1__6 711    
TcDm25_Chr29_H1__7 510    
TcDm25_Chr29_H1__8 486    
TcDm25_Chr29_H1__9 555    
TcDm25_Chr29_H1__10 549    
TcDm25_Chr29_H1__11 1188   
TcDm25_Chr29_H1__12 504    
TcDm25_Chr29_H1__13 612    
TcDm25_Chr29_H1__14 648    
TcDm25_Chr29_H1__15 435    
TcDm25_Chr29_H1__16 780    
TcDm25_Chr01_H1__1 4542   
TcDm25_Chr01_H1__2 2901   
TcDm25_Chr01_H1__3 2097   
TcDm25_Chr01_H1__4 636    
TcDm25_Chr01_H1__5 798    
TcDm25_Chr01_H1__6 486    
TcDm25_Chr01_H1__7 549    
TcDm25_Chr01_H1__8 1086   
TcDm25_Chr01_H1__9 609    
TcDm25_Chr01_H1__10 1662   
TcDm25_Chr06_H1__1 1290   
TcDm25_Chr06_H1__2 483    
TcDm25_Chr06_H1__3 486    
TcDm25_Chr06_H1__4 1536   
TcDm25_Chr06_H1__5 402    
TcDm25_Chr06_H1__6 438    
TcDm25_Chr06_H1__7 441    
TcDm25_Chr06_H1__8 1668   
TcDm25_Chr19_H1__1 486    
TcDm25_Chr19_H1__2 2112   
TcDm25_Chr19_H1__3 789    
TcDm25_Chr19_H1__4 1380   
TcDm25_Chr19_H1__5 447    
TcDm25_Chr19_H1__6 486    
TcDm25_Chr19_H1__7 552    
TcDm25_Chr19_H1__8 972    
TcDm25_Chr19_H1__9 867    
TcDm25_Chr19_H1__10 1284   
TcDm25_Chr19_H1__11 780    
TcDm25_Chr26_H1__1 7395   
TcDm25_Chr26_H1__2 615    
TcDm25_Chr26_H1__3 3015   
TcDm25_Chr26_H1__4 678    
TcDm25_Chr26_H1__5 486    
TcDm25_Chr26_H1__6 702    
TcDm25_Chr26_H1__7 561    
TcDm25_Chr26_H1__8 1257   
TcDm25_Chr26_H1__9 441    
TcDm25_Chr26_H1__10 879    
TcDm25_Chr26_H1__11 504    
TcDm25_Chr26_H1__12 777    
