Name           Length 
TcBrA4_Chr10__1 438    
TcBrA4_Chr10__2 831    
TcBrA4_Chr10__3 690    
TcBrA4_Chr10__4 408    
TcBrA4_Chr10__5 717    
TcBrA4_Chr10__6 417    
TcBrA4_Chr10__7 2703   
TcBrA4_Chr10__8 483    
TcBrA4_Chr10__9 1557   
TcBrA4_Chr10__10 747    
TcBrA4_Chr10__11 495    
TcBrA4_Chr10__12 948    
TcBrA4_Chr10__13 525    
TcBrA4_Chr10__14 456    
TcBrA4_Chr10__15 561    
TcBrA4_Chr10__16 681    
TcBrA4_Chr10__17 537    
TcBrA4_Chr10__1 1362   
TcBrA4_Chr10__2 4575   
TcBrA4_Chr10__3 2136   
TcBrA4_Chr10__4 480    
TcBrA4_Chr10__5 1734   
TcBrA4_Chr10__6 1659   
TcBrA4_Chr10__7 654    
TcBrA4_Chr10__8 702    
TcBrA4_Chr10__9 1080   
TcBrA4_Chr10__10 429    
TcBrA4_Chr10__11 513    
TcBrA4_Chr10__12 402    
TcBrA4_Chr10__13 522    
TcBrA4_Chr10__14 705    
TcBrA4_Chr10__15 1356   
TcBrA4_Chr12__1 2139   
TcBrA4_Chr12__2 1956   
TcBrA4_Chr12__3 2904   
TcBrA4_Chr12__4 1893   
TcBrA4_Chr12__5 1707   
TcBrA4_Chr12__6 744    
TcBrA4_Chr12__7 486    
TcBrA4_Chr12__8 891    
TcBrA4_Chr12__9 858    
TcBrA4_Chr12__10 861    
TcBrA4_Chr12__11 561    
TcBrA4_Chr12__12 522    
TcBrA4_Chr12__13 441    
TcBrA4_Chr12__14 438    
TcBrA4_Chr12__15 1668   
TcBrA4_Chr12__1 816    
TcBrA4_Chr12__2 2781   
TcBrA4_Chr12__3 924    
TcBrA4_Chr12__4 3414   
TcBrA4_Chr12__5 633    
TcBrA4_Chr12__6 1980   
TcBrA4_Chr12__7 678    
TcBrA4_Chr12__8 747    
TcBrA4_Chr12__9 483    
TcBrA4_Chr12__10 702    
TcBrA4_Chr12__11 2301   
TcBrA4_Chr12__12 426    
TcBrA4_Chr12__13 444    
TcBrA4_Chr12__14 564    
TcBrA4_Chr12__15 639    
TcBrA4_Chr12__16 1665   
TcBrA4_Chr14__1 5151   
TcBrA4_Chr14__2 1071   
TcBrA4_Chr14__3 825    
TcBrA4_Chr14__4 4053   
TcBrA4_Chr14__5 519    
TcBrA4_Chr14__6 483    
TcBrA4_Chr14__7 456    
TcBrA4_Chr14__8 702    
TcBrA4_Chr14__9 1197   
TcBrA4_Chr14__10 2106   
TcBrA4_Chr14__11 561    
TcBrA4_Chr14__12 471    
TcBrA4_Chr14__13 402    
TcBrA4_Chr14__14 720    
TcBrA4_Chr14__15 1665   
TcBrA4_Chr16__1 747    
TcBrA4_Chr16__2 702    
TcBrA4_Chr16__3 1827   
TcBrA4_Chr16__4 642    
TcBrA4_Chr16__5 438    
TcBrA4_Chr16__6 1668   
TcBrA4_Chr17__1 483    
TcBrA4_Chr17__2 747    
TcBrA4_Chr17__3 435    
TcBrA4_Chr17__4 702    
TcBrA4_Chr17__5 807    
TcBrA4_Chr17__6 534    
TcBrA4_Chr17__7 633    
TcBrA4_Chr17__8 606    
TcBrA4_Chr17__9 414    
TcBrA4_Chr17__1 2373   
TcBrA4_Chr17__2 2289   
TcBrA4_Chr17__3 423    
TcBrA4_Chr17__4 5211   
