file,ID,Length,GC_Content
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g985,657,0.571
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g40,1071,0.486
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g983,1119,0.518
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g981,1653,0.524
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g979,627,0.581
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g434,651,0.548
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g42,852,0.556
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g436,2691,0.525
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g968,1437,0.503
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g965,2661,0.525
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g43,462,0.552
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g964,945,0.517
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g963,882,0.535
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g962,2586,0.532
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g960,471,0.601
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g44,1578,0.539
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g959,642,0.519
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g957,1296,0.52
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g956,639,0.56
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g953,2361,0.533
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g951,744,0.489
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g45,933,0.516
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g945,591,0.574
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g941,2358,0.534
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g46,987,0.514
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g939,744,0.493
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g935,2682,0.531
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g931,2685,0.53
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g930,1068,0.508
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g929,702,0.566
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g927,645,0.533
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g468,885,0.546
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g471,744,0.491
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g473,2730,0.525
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g48,954,0.522
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g476,1773,0.488
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g477,1395,0.503
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g478,744,0.492
TcruziDm28c2018,PRFA01000001_ID_C4B63_1g49,810,0.542
