Name           Length 
TcYC6_Chr1__1  435    
TcYC6_Chr1__2  3504   
TcYC6_Chr1__3  729    
TcYC6_Chr1__4  702    
TcYC6_Chr1__5  1605   
TcYC6_Chr1__6  1551   
TcYC6_Chr1__7  426    
TcYC6_Chr1__8  462    
TcYC6_Chr1__9  645    
TcYC6_Chr1__10 1665   
TcYC6_Chr1__1  2655   
TcYC6_Chr1__2  3831   
TcYC6_Chr1__3  435    
TcYC6_Chr1__4  3498   
TcYC6_Chr1__5  744    
TcYC6_Chr1__6  945    
TcYC6_Chr1__7  1080   
TcYC6_Chr1__8  666    
TcYC6_Chr1__9  645    
TcYC6_Chr1__10 1665   
TcYC6_Chr1__1  666    
TcYC6_Chr1__2  456    
TcYC6_Chr1__3  747    
TcYC6_Chr1__4  4611   
TcYC6_Chr1__5  1095   
TcYC6_Chr1__6  1119   
TcYC6_Chr1__7  483    
TcYC6_Chr1__8  3297   
TcYC6_Chr1__9  747    
TcYC6_Chr1__10 945    
TcYC6_Chr1__11 1500   
TcYC6_Chr1__12 402    
TcYC6_Chr1__13 549    
TcYC6_Chr10__1 1554   
TcYC6_Chr10__2 702    
TcYC6_Chr10__3 807    
TcYC6_Chr10__4 846    
TcYC6_Chr10__5 594    
TcYC6_Chr10__6 483    
TcYC6_Chr10__7 441    
TcYC6_Chr10__8 729    
TcYC6_Chr10__9 435    
TcYC6_Chr10__1 1887   
TcYC6_Chr10__2 3513   
TcYC6_Chr10__3 603    
TcYC6_Chr10__4 3399   
TcYC6_Chr10__5 759    
TcYC6_Chr10__6 480    
TcYC6_Chr10__7 1044   
TcYC6_Chr10__8 1347   
TcYC6_Chr10__9 702    
TcYC6_Chr10__10 1038   
TcYC6_Chr10__11 447    
TcYC6_Chr10__12 648    
TcYC6_Chr10__13 402    
TcYC6_Chr10__14 1674   
TcYC6_Chr10__1 528    
TcYC6_Chr10__2 6000   
TcYC6_Chr10__3 3288   
TcYC6_Chr10__4 453    
TcYC6_Chr10__5 1029   
TcYC6_Chr10__6 1161   
TcYC6_Chr10__7 405    
TcYC6_Chr10__8 447    
TcYC6_Chr10__9 462    
TcYC6_Chr10__10 645    
TcYC6_Chr10__11 555    
TcYC6_Chr10__12 1236   
TcYC6_Chr10__1 4797   
TcYC6_Chr10__2 5442   
TcYC6_Chr10__3 675    
TcYC6_Chr10__4 702    
TcYC6_Chr10__5 1731   
TcYC6_Chr10__6 405    
TcYC6_Chr10__7 879    
TcYC6_Chr10__8 447    
TcYC6_Chr10__9 462    
TcYC6_Chr10__10 534    
TcYC6_Chr10__11 645    
TcYC6_Chr10__12 438    
TcYC6_Chr10__13 1671   
TcYC6_Chr12__1 939    
TcYC6_Chr12__2 651    
TcYC6_Chr12__3 513    
TcYC6_Chr12__4 915    
TcYC6_Chr12__5 645    
TcYC6_Chr12__6 525    
TcYC6_Chr12__7 600    
TcYC6_Chr12__8 702    
TcYC6_Chr12__9 1284   
TcYC6_Chr12__10 534    
TcYC6_Chr12__11 645    
TcYC6_Chr12__12 1668   
TcYC6_Chr12__1 552    
TcYC6_Chr12__2 1059   
TcYC6_Chr12__3 585    
TcYC6_Chr12__4 1461   
TcYC6_Chr12__5 486    
TcYC6_Chr12__6 645    
TcYC6_Chr12__7 438    
TcYC6_Chr12__8 1668   
TcYC6_Chr15__1 501    
TcYC6_Chr15__2 696    
TcYC6_Chr15__3 597    
TcYC6_Chr15__4 2238   
