Name           Length 
PRFA01000001__1 5043   
PRFA01000001__2 648    
PRFA01000001__3 516    
PRFA01000001__4 483    
PRFA01000001__5 4395   
PRFA01000001__6 645    
PRFA01000001__7 1734   
PRFA01000001__8 852    
PRFA01000001__9 627    
PRFA01000001__10 885    
PRFA01000002__1 432    
PRFA01000002__2 4440   
PRFA01000002__3 6033   
PRFA01000002__4 486    
PRFA01000002__5 906    
PRFA01000002__6 702    
PRFA01000002__7 945    
PRFA01000002__8 720    
PRFA01000002__9 459    
PRFA01000002__10 426    
PRFA01000002__11 486    
PRFA01000002__12 402    
PRFA01000002__13 645    
PRFA01000002__14 993    
PRFA01000003__1 4521   
PRFA01000003__2 3729   
PRFA01000003__3 540    
PRFA01000003__4 2139   
PRFA01000003__5 747    
PRFA01000003__6 495    
PRFA01000003__7 1731   
PRFA01000003__8 534    
PRFA01000003__9 483    
PRFA01000003__10 609    
PRFA01000003__11 645    
PRFA01000003__12 882    
PRFA01000003__13 546    
PRFA01000003__14 900    
PRFA01000003__1 549    
PRFA01000003__2 822    
PRFA01000003__3 486    
PRFA01000003__4 1416   
PRFA01000003__5 1728   
PRFA01000003__6 462    
PRFA01000003__7 726    
PRFA01000003__8 441    
PRFA01000003__9 531    
PRFA01000003__10 1728   
PRFA01000006__1 600    
PRFA01000006__2 2070   
PRFA01000006__3 942    
PRFA01000006__4 960    
PRFA01000006__5 564    
PRFA01000006__6 753    
PRFA01000006__7 615    
PRFA01000006__8 4143   
PRFA01000006__9 507    
PRFA01000006__10 486    
PRFA01000006__11 702    
PRFA01000006__12 1080   
PRFA01000006__13 438    
PRFA01000006__14 432    
PRFA01000006__15 1737   
PRFA01000010__1 7455   
PRFA01000010__2 576    
PRFA01000010__3 987    
PRFA01000010__4 1077   
PRFA01000010__5 1530   
PRFA01000010__6 651    
PRFA01000010__7 711    
PRFA01000010__8 1437   
PRFA01000010__9 642    
PRFA01000010__10 1788   
PRFA01000024__1 918    
PRFA01000024__2 429    
PRFA01000024__3 747    
PRFA01000024__4 486    
PRFA01000024__5 456    
PRFA01000024__6 702    
PRFA01000024__7 885    
PRFA01000024__8 519    
PRFA01000024__9 600    
PRFA01000024__10 717    
PRFA01000024__11 1428   
PRFA01000024__12 405    
PRFA01000025__1 606    
PRFA01000025__2 825    
PRFA01000025__3 678    
PRFA01000025__4 486    
PRFA01000025__5 456    
PRFA01000025__6 702    
PRFA01000025__7 2307   
PRFA01000025__8 852    
PRFA01000025__9 402    
PRFA01000025__10 720    
PRFA01000025__1 5265   
PRFA01000025__2 894    
PRFA01000025__3 774    
PRFA01000025__4 3996   
PRFA01000025__5 519    
PRFA01000025__6 486    
PRFA01000025__7 456    
PRFA01000025__8 702    
PRFA01000025__9 945    
PRFA01000025__10 471    
PRFA01000025__11 402    
PRFA01000025__12 720    
PRFA01000025__1 771    
PRFA01000025__2 5247   
PRFA01000025__3 666    
PRFA01000025__4 606    
PRFA01000025__5 1395   
PRFA01000025__6 825    
PRFA01000025__7 1335   
PRFA01000025__8 642    
PRFA01000025__9 504    
PRFA01000025__10 486    
PRFA01000025__11 2496   
PRFA01000025__12 945    
PRFA01000025__13 471    
PRFA01000025__14 720    
PRFA01000025__15 480    
PRFA01000028__1 573    
PRFA01000028__2 1161   
PRFA01000028__3 876    
PRFA01000028__4 2556   
PRFA01000028__5 576    
PRFA01000028__6 918    
PRFA01000028__7 981    
PRFA01000028__8 2100   
PRFA01000028__9 648    
PRFA01000028__10 486    
PRFA01000028__11 1698   
PRFA01000028__12 702    
PRFA01000028__13 1347   
PRFA01000028__14 486    
PRFA01000028__15 438    
PRFA01000028__16 1104   
PRFA01000029__1 2094   
PRFA01000029__2 4014   
PRFA01000029__3 2886   
PRFA01000029__4 597    
PRFA01000029__5 1329   
PRFA01000029__6 678    
PRFA01000029__7 486    
PRFA01000029__8 702    
PRFA01000029__9 2949   
PRFA01000029__10 693    
PRFA01000029__11 765    
PRFA01000029__12 507    
PRFA01000029__13 402    
PRFA01000029__14 642    
PRFA01000029__15 438    
PRFA01000029__16 1788   
PRFA01000033__1 438    
PRFA01000033__2 3225   
PRFA01000033__3 4620   
PRFA01000033__4 1938   
PRFA01000033__5 744    
PRFA01000033__6 420    
PRFA01000033__7 837    
PRFA01000033__8 2301   
PRFA01000033__9 702    
PRFA01000033__10 642    
PRFA01000033__11 1788   
PRFA01000035__1 408    
PRFA01000035__2 615    
PRFA01000035__3 1956   
PRFA01000035__4 486    
PRFA01000035__5 2070   
PRFA01000035__6 573    
PRFA01000035__7 414    
PRFA01000035__8 438    
PRFA01000035__9 1773   
PRFA01000035__1 498    
PRFA01000035__2 666    
PRFA01000035__3 1536   
PRFA01000035__4 429    
PRFA01000035__5 990    
PRFA01000035__6 615    
PRFA01000035__7 5790   
PRFA01000035__8 486    
PRFA01000035__9 414    
PRFA01000035__10 543    
PRFA01000035__1 615    
PRFA01000035__2 1341   
PRFA01000035__3 642    
PRFA01000035__4 996    
PRFA01000035__5 549    
PRFA01000035__6 573    
PRFA01000035__7 414    
PRFA01000035__8 438    
PRFA01000035__9 1788   
PRFA01000041__1 3228   
PRFA01000041__2 7053   
PRFA01000041__3 486    
PRFA01000041__4 702    
PRFA01000041__5 1734   
PRFA01000041__6 534    
PRFA01000041__7 438    
PRFA01000041__8 897    
PRFA01000041__1 669    
PRFA01000041__2 7611   
PRFA01000041__3 741    
PRFA01000041__4 1128   
PRFA01000041__5 849    
PRFA01000041__6 804    
PRFA01000041__7 1734   
PRFA01000041__8 534    
PRFA01000041__9 462    
PRFA01000041__10 438    
PRFA01000041__11 897    
PRFA01000055__1 786    
PRFA01000055__2 666    
PRFA01000055__3 630    
PRFA01000055__4 483    
PRFA01000055__5 408    
PRFA01000055__6 2907   
PRFA01000055__7 525    
PRFA01000055__8 5430   
PRFA01000055__9 486    
PRFA01000055__10 627    
PRFA01000055__11 1476   
PRFA01000055__12 414    
PRFA01000055__13 465    
PRFA01000056__1 711    
PRFA01000056__2 1386   
PRFA01000056__3 3129   
PRFA01000056__4 4185   
PRFA01000056__5 1449   
PRFA01000056__6 645    
PRFA01000056__7 744    
PRFA01000056__8 864    
PRFA01000056__9 1380   
PRFA01000056__10 480    
PRFA01000056__11 519    
PRFA01000056__12 477    
PRFA01000056__13 705    
PRFA01000056__14 480    
PRFA01000056__15 837    
PRFA01000058__1 6357   
PRFA01000058__2 1512   
PRFA01000058__3 1812   
PRFA01000058__4 681    
PRFA01000058__5 486    
PRFA01000058__6 702    
PRFA01000058__7 1260   
PRFA01000058__8 711    
PRFA01000058__9 432    
PRFA01000058__10 594    
PRFA01000058__11 609    
PRFA01000058__12 612    
PRFA01000058__13 885    
PRFA01000058__14 468    
PRFA01000060__1 1047   
PRFA01000060__2 486    
PRFA01000060__3 4284   
PRFA01000060__4 891    
PRFA01000060__5 1554   
PRFA01000060__6 2286   
PRFA01000060__7 588    
PRFA01000060__8 1533   
PRFA01000060__9 486    
PRFA01000060__10 774    
PRFA01000060__11 789    
PRFA01000060__12 621    
PRFA01000060__13 603    
PRFA01000060__14 447    
PRFA01000060__15 486    
PRFA01000060__16 552    
PRFA01000060__17 1035   
PRFA01000060__18 1119   
PRFA01000064__1 981    
PRFA01000064__2 1662   
PRFA01000064__3 7590   
PRFA01000064__4 486    
PRFA01000064__5 1350   
PRFA01000064__6 774    
PRFA01000064__7 402    
PRFA01000064__8 441    
PRFA01000064__9 1116   
PRFA01000064__10 480    
PRFA01000064__11 900    
PRFA01000066__1 498    
PRFA01000066__2 1290   
PRFA01000066__3 483    
PRFA01000066__4 486    
PRFA01000066__5 1080   
PRFA01000066__6 450    
PRFA01000066__7 402    
PRFA01000066__8 438    
PRFA01000066__9 645    
PRFA01000066__10 855    
PRFA01000066__11 657    
PRFA01000075__1 438    
PRFA01000075__2 3579   
PRFA01000075__3 843    
PRFA01000075__4 5454   
PRFA01000075__5 678    
PRFA01000075__6 453    
PRFA01000075__7 711    
PRFA01000075__8 1743   
PRFA01000075__9 498    
PRFA01000075__10 609    
PRFA01000075__11 1032   
PRFA01000075__12 909    
PRFA01000082__1 1167   
PRFA01000082__2 627    
PRFA01000082__3 408    
PRFA01000082__4 1104   
PRFA01000082__5 423    
PRFA01000082__6 5937   
PRFA01000082__7 714    
PRFA01000082__8 747    
PRFA01000082__9 702    
PRFA01000082__10 2121   
PRFA01000082__11 1755   
PRFA01000082__12 576    
PRFA01000082__13 1005   
PRFA01000082__14 504    
PRFA01000088__1 621    
PRFA01000088__2 2994   
PRFA01000088__3 651    
PRFA01000088__4 855    
PRFA01000088__5 6615   
PRFA01000088__6 678    
PRFA01000088__7 561    
PRFA01000088__8 1089   
PRFA01000088__9 654    
PRFA01000088__10 807    
PRFA01000088__11 408    
PRFA01000088__12 648    
PRFA01000088__13 1014   
PRFA01000091__1 1287   
PRFA01000091__2 3732   
PRFA01000091__3 2712   
PRFA01000091__4 1887   
PRFA01000091__5 681    
PRFA01000091__6 486    
PRFA01000091__7 444    
PRFA01000091__8 702    
PRFA01000091__9 1197   
PRFA01000091__10 1734   
PRFA01000091__11 432    
PRFA01000091__12 459    
PRFA01000091__13 537    
PRFA01000091__14 1725   
PRFA01000091__1 4368   
PRFA01000091__2 3729   
PRFA01000091__3 606    
PRFA01000091__4 1347   
PRFA01000091__5 426    
PRFA01000091__6 603    
PRFA01000091__7 804    
PRFA01000091__8 702    
PRFA01000091__9 774    
PRFA01000091__10 2115   
PRFA01000091__11 450    
PRFA01000091__12 1593   
PRFA01000099__1 1020   
PRFA01000099__2 825    
PRFA01000099__3 7665   
PRFA01000099__4 792    
PRFA01000099__5 486    
PRFA01000099__6 435    
PRFA01000099__7 696    
PRFA01000099__8 2289   
PRFA01000099__9 726    
PRFA01000100__1 2325   
PRFA01000100__2 2214   
PRFA01000100__3 402    
PRFA01000100__4 753    
PRFA01000100__5 495    
PRFA01000100__6 1152   
PRFA01000100__7 480    
PRFA01000100__8 3174   
PRFA01000100__9 747    
PRFA01000100__10 483    
PRFA01000100__11 567    
