Name           Length 
TcYC6_Chr1__1  8046   
TcYC6_Chr10__1 8889   
TcYC6_Chr12__1 8196   
TcYC6_Chr12__1 9399   
TcYC6_Chr15__1 10278  
TcYC6_Chr17__1 9210   
TcYC6_Chr17__1 10401  
TcYC6_Chr23__1 10368  
TcYC6_Chr25__1 9069   
TcYC6_Chr3__1  10344  
TcYC6_Chr30__1 9489   
TcYC6_Chr31__1 10239  
TcYC6_Chr31__1 10356  
TcYC6_Chr36__1 9336   
TcYC6_Chr40__1 10266  
TcYC6_Contig131__1 10236  
TcYC6_Contig186__1 8610   
TcYC6_Contig218__1 8532   
TcYC6_Contig232__1 9804   
TcYC6_Contig258__1 9264   
TcYC6_Contig42__1 8322   
TcYC6_Contig80__1 10194  
TcYC6_Chr17__1 9774   
TcYC6_Chr18__1 9000   
TcYC6_Chr18__1 8286   
TcYC6_Chr19__1 9204   
TcYC6_Chr22__1 8607   
TcYC6_Chr22__1 9429   
TcYC6_Chr22__1 8448   
TcYC6_Chr29__1 9909   
TcYC6_Chr30__1 10320  
TcYC6_Chr31__1 10272  
TcYC6_Chr32__1 9348   
TcYC6_Chr36__1 8019   
TcYC6_Chr38__1 10041  
TcYC6_Chr40__1 10347  
TcYC6_Contig11__1 10194  
TcYC6_Contig45__1 8085   
